Time,ID,Event context,Component,Event name,Origin
"14/08/20, 19:53",2,Front page,Logs,Log report viewed,web
"14/08/20, 19:51",2,Front page,System,Course viewed,web
"14/08/20, 19:50",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"14/08/20, 19:50",2,System,System,User has logged in,web
"14/08/20, 15:42",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"14/08/20, 13:55",2,Front page,System,Course viewed,web
"14/08/20, 13:55",2,System,System,User has logged in,web
"7/08/20, 01:36",2,Course: Introduction to Learning Analytics,Logs,Log report viewed,web
"7/08/20, 01:35",2,Course: Introduction to Learning Analytics,Logs,Log report viewed,web
"7/08/20, 01:35",2,Course: Introduction to Learning Analytics,Logs,Log report viewed,web
"7/08/20, 01:35",2,Course: Introduction to Learning Analytics,Logs,Log report viewed,web
"7/08/20, 01:33",2,Course: Introduction to Learning Analytics,Logs,Log report viewed,web
"7/08/20, 01:30",2,Course: Introduction to Learning Analytics,Logs,Log report viewed,web
"7/08/20, 01:29",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:28",2,Front page,System,Course viewed,web
"7/08/20, 01:28",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:28",2,Course: Introduction to Moodle,System,Course viewed,web
"7/08/20, 01:28",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:28",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:27",2,Front page,System,Course viewed,web
"7/08/20, 01:26",2,Front page,System,Course viewed,web
"7/08/20, 01:26",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:26",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:26",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:25",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:24",2,System,Live logs,Live log report viewed,web
"7/08/20, 01:23",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:23",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:23",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:23",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:23",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:23",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:20",6,Assignment: Stop motion video,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:20",6,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:20",6,Assignment: Stop motion video,Assignment,A submission has been submitted.,web
"7/08/20, 01:20",#N/A,System,System,Notification sent,web
"7/08/20, 01:20",6,Assignment: Stop motion video,File submissions,Submission created.,web
"7/08/20, 01:20",6,Assignment: Stop motion video,File submissions,A file has been uploaded.,web
"7/08/20, 01:20",6,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:20",2,Front page,Logs,Log report viewed,web
"7/08/20, 01:20",2,Front page,System,Course viewed,web
